일자,기준환율
2022.01.01,1185.5
2022.01.02,1185.5
2022.01.03,1185.5
2022.01.04,1190.8
2022.01.05,1194.3
2022.01.06,1198.2
2022.01.07,1199.6
2022.01.08,1199.6
2022.01.09,1199.6
2022.01.10,1202.4
2022.01.11,1200.0
2022.01.12,1195.2
2022.01.13,1189.9
2022.01.14,1188.2
2022.01.15,1188.2
2022.01.16,1188.2
2022.01.17,1187.6
2022.01.18,1192.3
2022.01.19,1188.9
2022.01.20,1191.8
2022.01.21,1190.4
2022.01.22,1190.4
2022.01.23,1190.4
2022.01.24,1193.6
2022.01.25,1194.2
2022.01.26,1197.8
2022.01.27,1197.0
2022.01.28,1202.4
2022.01.29,1202.4
2022.01.30,1202.4
2022.01.31,1202.4
2022.02.01,1202.4
2022.02.02,1202.4
2022.02.03,1205.7
2022.02.04,1205.4
2022.02.05,1205.4
2022.02.06,1205.4
2022.02.07,1199.5
2022.02.08,1199.4
2022.02.09,1197.8
2022.02.10,1196.0
2022.02.11,1196.0
2022.02.12,1196.0
2022.02.13,1196.0
2022.02.14,1199.6
2022.02.15,1198.3
2022.02.16,1198.5
2022.02.17,1196.9
2022.02.18,1197.1
2022.02.19,1197.1
2022.02.20,1197.1
2022.02.21,1196.4
2022.02.22,1194.6
2022.02.23,1194.7
2022.02.24,1192.1
2022.02.25,1199.4
2022.02.26,1199.4
2022.02.27,1199.4
2022.02.28,1202.7
2022.03.01,1202.7
2022.03.02,1205.6
2022.03.03,1205.0
2022.03.04,1203.6
2022.03.05,1203.6
2022.03.06,1203.6
2022.03.07,1211.5
2022.03.08,1225.4
2022.03.09,1225.4
2022.03.10,1234.5
2022.03.11,1228.7
2022.03.12,1228.7
2022.03.13,1228.7
2022.03.14,1232.4
2022.03.15,1238.6
2022.03.16,1241.7
2022.03.17,1240.4
2022.03.18,1220.6
2022.03.19,1220.6
2022.03.20,1220.6
2022.03.21,1211.1
2022.03.22,1213.7
2022.03.23,1221.4
2022.03.24,1212.7
2022.03.25,1219.4
2022.03.26,1219.4
2022.03.27,1219.4
2022.03.28,1218.3
2022.03.29,1225.7
2022.03.30,1220.5
2022.03.31,1210.8
2022.04.01,1210.7
2022.04.02,1210.7
2022.04.03,1210.7
2022.04.04,1216.1
2022.04.05,1216.7
2022.04.06,1212.6
2022.04.07,1219.1
2022.04.08,1218.5
2022.04.09,1218.5
2022.04.10,1218.5
2022.04.11,1224.0
2022.04.12,1232.0
2022.04.13,1236.6
2022.04.14,1227.7
2022.04.15,1224.2
2022.04.16,1224.2
2022.04.17,1224.2
2022.04.18,1230.1
2022.04.19,1232.8
2022.04.20,1234.9
2022.04.21,1237.1
2022.04.22,1236.4
2022.04.23,1236.4
2022.04.24,1236.4
2022.04.25,1241.7
2022.04.26,1247.1
2022.04.27,1248.3
2022.04.28,1263.1
2022.04.29,1269.4
2022.04.30,1269.4
2022.05.01,1269.4
2022.05.02,1265.4
2022.05.03,1265.8
2022.05.04,1265.7
2022.05.05,1265.7
2022.05.06,1261.8
2022.05.07,1261.8
2022.05.08,1261.8
2022.05.09,1272.7
2022.05.10,1274.6
2022.05.11,1275.5
2022.05.12,1277.0
2022.05.13,1286.4
2022.05.14,1286.4
2022.05.15,1286.4
2022.05.16,1286.0
2022.05.17,1281.6
2022.05.18,1277.2
2022.05.19,1269.3
2022.05.20,1274.6
2022.05.21,1274.6
2022.05.22,1274.6
2022.05.23,1269.5
2022.05.24,1267.7
2022.05.25,1264.3
2022.05.26,1263.3
2022.05.27,1266.4
2022.05.28,1266.4
2022.05.29,1266.4
2022.05.30,1256.9
2022.05.31,1245.8
2022.06.01,1245.8
2022.06.02,1238.4
2022.06.03,1251.2
2022.06.04,1251.2
2022.06.05,1251.2
2022.06.06,1251.2
2022.06.07,1241.1
2022.06.08,1257.1
2022.06.09,1255.4
2022.06.10,1257.6
2022.06.11,1257.6
2022.06.12,1257.6
2022.06.13,1266.0
2022.06.14,1286.0
2022.06.15,1289.7
2022.06.16,1291.3
2022.06.17,1284.1
2022.06.18,1284.1
2022.06.19,1284.1
2022.06.20,1287.5
2022.06.21,1291.7
2022.06.22,1290.6
2022.06.23,1295.7
2022.06.24,1300.7
2022.06.25,1300.7
2022.06.26,1300.7
2022.06.27,1299.4
2022.06.28,1285.6
2022.06.29,1284.9
2022.06.30,1292.9
2022.07.01,1299.8
2022.07.02,1299.8
2022.07.03,1299.8
2022.07.04,1294.2
2022.07.05,1297.9
2022.07.06,1298.0
2022.07.07,1307.4
2022.07.08,1302.7
2022.07.09,1302.7
2022.07.10,1302.7
2022.07.11,1299.3
2022.07.12,1300.6
2022.07.13,1312.9
2022.07.14,1305.9
2022.07.15,1310.0
2022.07.16,1310.0
2022.07.17,1310.0
2022.07.18,1323.7
2022.07.19,1317.8
2022.07.20,1314.9
2022.07.21,1308.6
2022.07.22,1312.1
2022.07.23,1312.1
2022.07.24,1312.1
2022.07.25,1311.7
2022.07.26,1311.0
2022.07.27,1310.0
2022.07.28,1312.8
