market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2017-12-05,2017-12-05T09:00:00,13683000.0,14794000.0,13612000.0,14645000.0,1512518400020,393354372550.99945,27842.82483202,13684000.0,961000.0,0.0702280035
KRW-BTC,2017-12-06,2017-12-06T09:00:00,14645000.0,19006000.0,14645000.0,18390000.0,1512604740000,764486810510.9639,46874.81572282,14645000.0,3745000.0,0.2557186753
KRW-BTC,2017-12-07,2017-12-07T09:00:00,18389000.0,23860000.0,17965000.0,23791000.0,1512691200081,1118269518418.238,55171.05694429,18390000.0,5401000.0,0.293692224
KRW-BTC,2017-12-08,2017-12-08T09:00:00,23795000.0,24967000.0,16521000.0,20260000.0,1512777600070,2070532197879.6824,101681.96225121,23791000.0,-3531000.0,-0.1484174688
KRW-BTC,2017-12-09,2017-12-09T09:00:00,20259000.0,20877000.0,15257000.0,17769000.0,1512864000151,1017293699277.7094,57286.61272035,20260000.0,-2491000.0,-0.1229516288
KRW-BTC,2017-12-10,2017-12-10T09:00:00,17769000.0,18537000.0,13744000.0,17661000.0,1512950399973,1397576996544.1858,87737.90180131,17769000.0,-108000.0,-0.006078001
KRW-BTC,2017-12-11,2017-12-11T09:00:00,17661000.0,19989000.0,17520000.0,19307000.0,1513036799785,937491532254.3287,49104.26522594,17661000.0,1646000.0,0.0931997056
KRW-BTC,2017-12-12,2017-12-12T09:00:00,19307000.0,19549000.0,18497000.0,18940000.0,1513123201168,724954383604.7885,37765.66828121,19307000.0,-367000.0,-0.0190086497
KRW-BTC,2017-12-13,2017-12-13T09:00:00,18943000.0,19301000.0,17379000.0,18358000.0,1513209600157,720181409852.3256,38816.44091324,18940000.0,-582000.0,-0.0307286167
KRW-BTC,2017-12-14,2017-12-14T09:00:00,18356000.0,19312000.0,18101000.0,18660000.0,1513296000884,729015620961.669,39274.3089533,18358000.0,302000.0,0.0164505937
KRW-BTC,2017-12-15,2017-12-15T09:00:00,18664000.0,21558000.0,18539000.0,20075000.0,1513382402381,1078431840484.545,53514.06078424,18660000.0,1415000.0,0.0758306538
