coin,buy_date,buy,sell_date,sell,profit,profit_rate
BTC,2018-01-05,27457722.0,2018-01-11,19379305.5,-8078416.5,-0.29421291759017737
BTC,2018-04-20,9556776.0,2018-05-09,10399797.5,843021.5,0.0882119137248796
BTC,2018-07-17,8084040.0,2018-07-31,8795600.0,711560.0,0.0880203462625123
BTC,2018-08-27,7691844.0,2018-09-15,7359318.5,-332525.5,-0.043230920959915466
ETH,2018-01-03,1296147.75,2018-01-15,1791603.75,495456.0,0.3822527177167881
ETH,2018-05-03,854126.85,2018-05-10,800599.5,-53527.34999999998,-0.0626690871502283
ETH,2018-11-04,236118.0,2018-12-18,112443.75,-123674.25,-0.5237815414326735
NEO,2018-01-03,143971.94999999998,2018-01-15,255022.42500000002,111050.47500000003,0.7713341036222684
NEO,2018-04-29,98259.105,2018-05-10,76951.505,-21307.59999999999,-0.21685115084245873
NEO,2018-09-01,25062.524999999998,2018-09-21,22108.940000000002,-2953.5849999999955,-0.1178486605000891
MTL,2018-01-04,16178.085,2018-02-05,3863.0675,-12315.017499999998,-0.7612160215501401
MTL,2018-02-18,5542.7699999999995,2018-02-27,4867.5650000000005,-675.204999999999,-0.12181725021965535
MTL,2018-03-01,5672.835,2018-03-10,4287.8550000000005,-1384.9799999999996,-0.24414247902503766
MTL,2018-04-18,4482.24,2018-05-08,5292.3525,810.1125000000002,0.18073831387877495
MTL,2018-09-04,905.4525,2018-09-20,785.6070000000001,-119.8454999999999,-0.13235978695734996
MTL,2018-10-11,828.414,2018-10-29,713.643,-114.77099999999996,-0.13854304731692121
XRP,2018-09-20,506.253,2018-10-05,589.705,83.45200000000006,0.16484247994579795
XRP,2018-11-05,557.2785,2018-11-16,544.7275000000001,-12.55099999999993,-0.02252195266819002
ETC,2018-01-09,61930.95,2018-01-12,53663.155000000006,-8267.794999999991,-0.13350021273692703
ETC,2018-04-18,18659.325,2018-05-01,23438.275,4778.950000000001,0.25611590987348154
ETC,2018-05-06,28214.1,2018-05-11,19430.280000000002,-8783.819999999996,-0.3113273150658712
ETC,2018-06-20,19289.64,2018-07-15,18810.59,-479.0499999999993,-0.024834574414037757
ETC,2018-08-05,20370.18,2018-08-13,14052.970000000001,-6317.209999999999,-0.31012048003503156
SNT,2018-01-01,366.183,2018-01-11,563.7180000000001,197.53500000000008,0.5394433930575698
SNT,2018-04-13,119.0595,2018-05-08,174.91250000000002,55.85300000000002,0.46911838198547806
SNT,2018-09-04,50.52525,2018-09-19,38.28085,-12.244399999999999,-0.24234219523901412
SNT,2018-10-08,46.2231,2018-10-12,39.980000000000004,-6.243099999999998,-0.13506450238084416
SNT,2018-10-31,43.021499999999996,2018-11-11,41.17940000000001,-1.8420999999999879,-0.042818125820810245
XEM,2018-01-03,2441.22,2018-01-10,1959.0200000000002,-482.1999999999996,-0.19752418872530933
XEM,2018-04-14,320.15999999999997,2018-05-07,434.7825,114.62250000000006,0.35801630434782633
XEM,2018-09-04,136.06799999999998,2018-09-21,111.944,-24.12399999999998,-0.17729370608813227
