coin,buy_date,buy,sell_date,sell,profit,profit_rate
BTC,2021-01-02,35717850.0,2021-01-11,40073953.0,4356103.0,0.12195871252049045
BTC,2021-02-06,41745862.5,2021-02-24,56471750.0,14725887.5,0.35275082650406375
BTC,2021-03-13,70650307.5,2021-03-19,67940013.0,-2710294.5,-0.03836210479338678
BTC,2021-03-30,70835400.0,2021-04-11,78703628.5,7868228.5,0.11107763208791084
BTC,2021-07-26,43022500.5,2021-08-04,45695141.0,2672640.5,0.06212192385238045
BTC,2021-09-06,60869419.5,2021-10-02,58198886.0,-2670533.5,-0.04387315538634305
BTC,2021-10-06,67033500.0,2021-10-26,73256353.5,6222853.5,0.09283199445053593
BTC,2021-11-08,81443701.5,2021-11-16,73860051.5,-7583650.0,-0.09311524231250712
ETH,2021-01-03,1114056.75,2021-01-13,1251374.0,137317.25,0.1232587567913394
ETH,2021-02-02,1614807.0,2021-02-16,1982508.25,367701.25,0.22770600449465478
ETH,2021-03-31,2335167.0,2021-04-12,2793602.5,458435.5,0.19631807917806307
ETH,2021-05-01,3508753.5,2021-05-18,4202897.5,694144.0,0.19783207911299555
ETH,2021-07-30,2837418.0,2021-08-18,3553222.5,715804.5,0.25227319344559035
ETH,2021-08-31,4016007.0,2021-09-09,4130933.5,114926.5,0.028617106494087285
ETH,2021-10-20,5042520.0,2021-10-30,5128434.5,85914.5,0.01703800877339108
ETH,2021-11-03,5463730.5,2021-11-14,5606195.5,142465.0,0.0260746755353325
NEO,2021-01-06,21680.835,2021-01-23,27006.49,5325.6550000000025,0.24563883263721176
NEO,2021-02-08,28994.489999999998,2021-02-26,43968.005000000005,14973.515000000007,0.516426224430918
NEO,2021-03-17,54197.085,2021-04-24,96981.485,42784.4,0.7894225307505007
NEO,2021-07-30,47983.979999999996,2021-08-20,66106.93000000001,18122.95000000001,0.37768751154031016
NEO,2021-09-05,75287.625,2021-10-04,52373.8,-22913.824999999997,-0.3043504825660259
NEO,2021-11-08,60830.399999999994,2021-12-23,35892.045000000006,-24938.35499999999,-0.4099653298350823
MTL,2021-01-07,473.2365,2021-02-24,932.5335,459.297,0.9705443261455954
MTL,2021-02-27,1310.655,2021-03-08,1499.25,188.59500000000003,0.14389370200395987
MTL,2021-03-22,2056.0274999999997,2021-04-07,5737.13,3681.1025000000004,1.790395556479668
MTL,2021-07-31,2616.3075,2021-08-24,3313.3425,697.0350000000003,0.26641937157616236
MTL,2021-08-31,5702.849999999999,2021-09-08,4067.965,-1634.8849999999993,-0.2866785905292967
XRP,2021-01-30,479.23949999999996,2021-02-23,534.7325000000001,55.49300000000011,0.1157938775914759
XRP,2021-03-20,614.307,2021-04-19,1689.1550000000002,1074.8480000000002,1.74969192927966
XRP,2021-08-11,1165.5825,2021-08-23,1449.275,283.6925000000001,0.24339117994650752
XRP,2021-09-06,1600.8,2021-10-19,1334.3325,-266.4675,-0.1664589580209895
XRP,2021-11-03,1430.715,2021-11-18,1284.3575,-146.35749999999985,-0.10229675372104148
ETC,2021-01-03,7443.719999999999,2021-01-14,8505.745,1062.0250000000015,0.14267395871956515
ETC,2021-02-05,8974.484999999999,2021-02-23,12813.59,3839.1050000000014,0.42777997846115984
ETC,2021-03-13,15907.949999999999,2021-03-18,14262.865000000002,-1645.0849999999973,-0.10341275902929023
ETC,2021-03-30,15947.97,2021-04-22,39490.245,23542.275,1.476192581250153
ETC,2021-05-03,63731.85,2021-05-14,127886.02500000001,64154.17500000001,1.0066265925122213
ETC,2021-08-07,69524.745,2021-08-23,79290.335,9765.590000000011,0.14046207576885053
ETC,2021-09-05,84112.03499999999,2021-10-03,65147.41,-18964.624999999985,-0.22546862645755733
ETC,2021-10-21,67943.955,2021-11-01,64017.975000000006,-3925.979999999996,-0.05778262392879537
ETC,2021-11-09,73506.735,2021-11-18,60069.950000000004,-13436.784999999996,-0.1827966512184223
SNT,2021-01-06,62.93145,2021-01-18,62.968500000000006,0.0370500000000078,0.0005887358387580105
SNT,2021-02-06,68.53425,2021-02-23,89.85505,21.320800000000006,0.3110970062414049
SNT,2021-03-13,125.0625,2021-04-11,246.87650000000002,121.81400000000002,0.974024987506247
SNT,2021-04-14,342.171,2021-04-20,234.88250000000002,-107.28849999999997,-0.3135522881833936
SNT,2021-07-30,97.34864999999999,2021-08-21,114.94250000000001,17.593850000000018,0.18073029261320028
SNT,2021-09-04,132.066,2021-09-07,111.944,-20.122,-0.15236321233322733
SNT,2021-10-08,122.06099999999999,2021-11-17,113.94300000000001,-8.11799999999998,-0.06650772974168638
SNT,2021-11-29,134.06699999999998,2021-12-08,99.3503,-34.716699999999975,-0.25895037555848927
XEM,2021-02-01,290.145,2021-03-10,731.634,441.48900000000003,1.5216150545416949
XEM,2021-04-04,494.24699999999996,2021-04-20,464.76750000000004,-29.479499999999916,-0.05964527857528709
XEM,2021-08-11,226.113,2021-08-20,241.87900000000002,15.76600000000002,0.069726198847479
